uid;firstname;lastname;surname;position;account;email;status
u0000001;Петр;Петров;Петрович;разработчик;p_petrov;p_petrov@digdes.com;ACTIVE
u0000002;Василий;Васильев;Васильевич;разработчик;v_vasiliev;v_vasiliev@digdes.com;DELETED
u0000003;Николай;Николаев;Николаевич;тимлид;n_nikolaev;n_nikolaev@digdes.com;ACTIVE
u0000004;Александр;Александров;Александрович;тестер;a_alexandrov;a_alexandrov@digdes.com;DELETED
u0000005;Татьяна;Лакшина;Васильевна;тестер;t_lakshina;t_lakshina@digdes.com;ACTIVE
u0000006;Евгения;Новодворская;Ильинична;просто;e_novodvorskaya;e_novodvorskaya@digdes.com;DELETED
u0000007;Александра;Петрова;Николаевна;pr;a_petrova;a_petrova@digdes.com;ACTIVE
u0000008;Василий;Теркин;Васильевич;директор;v_tyorkin;v_tyorkin@digdes.com;DELETED
u0000009;Татьяна;Онегина;Евгеньевна;hq;t_onegina;t_onegina@digdes.com;ACTIVE
u0000010;Зураб;Церетелли;Зурабович;скульптор;z_ceretelli;z_ceretelli@digdes.com;DELETED
